Date | Time | Message Type | First Two Words | Elapsed Time | Unique ID
2023-09-28 | 17:39:51.110 | [DBG] | GWS Request | 00:00:22.3000431 | batchy
2023-09-28 | 17:40:12.241 | [DBG] | GWS Request | 00:00:21.0529421 | batchy
2023-09-28 | 17:41:03.303 | [DBG] | GWS Request | 00:00:21.0430620 | batchy
2023-09-28 | 17:41:24.320 | [DBG] | GWS Request | 00:00:21.0166602 | batchy
2023-09-28 | 17:42:28.984 | [DBG] | GWS Request | 00:00:34.6549114 | batchy
2023-09-28 | 17:42:50.031 | [DBG] | GWS Request | 00:00:21.0474588 | batchy
2023-09-28 | 17:43:41.095 | [DBG] | GWS Request | 00:00:21.0476656 | batchy
2023-09-28 | 17:44:02.129 | [DBG] | GWS Request | 00:00:21.0332597 | batchy
2023-09-28 | 17:44:55.740 | [DBG] | GWS Request | 00:00:23.5884658 | batchy
2023-09-28 | 17:45:16.759 | [DBG] | GWS Request | 00:00:21.0190605 | batchy
2023-09-28 | 17:46:07.801 | [DBG] | GWS Request | 00:00:21.0286646 | batchy
2023-09-28 | 17:46:28.807 | [DBG] | GWS Request | 00:00:21.0062624 | batchy
2023-09-28 | 17:47:33.532 | [DBG] | GWS Request | 00:00:34.7079058 | batchy
2023-09-28 | 17:47:54.563 | [DBG] | GWS Request | 00:00:21.0316605 | batchy
2023-09-28 | 17:48:45.606 | [DBG] | GWS Request | 00:00:21.0328674 | batchy
2023-09-28 | 17:49:06.657 | [DBG] | GWS Request | 00:00:21.0502650 | batchy
2023-09-28 | 17:50:00.287 | [DBG] | GWS Request | 00:00:23.6126697 | batchy
2023-09-28 | 17:50:21.319 | [DBG] | GWS Request | 00:00:21.0322596 | batchy
2023-09-28 | 17:51:12.348 | [DBG] | GWS Request | 00:00:21.0124610 | batchy
2023-09-28 | 17:51:33.365 | [DBG] | GWS Request | 00:00:21.0172631 | batchy
2023-09-28 | 18:21:19.646 | [DBG] | GWS Request | 00:00:01.0920019 | batchy
2023-09-28 | 18:21:19.896 | [DBG] | GWS Request | 00:00:00.2496004 | batchy
2023-09-28 | 18:21:20.145 | [DBG] | GWS Request | 00:00:00.2496005 | batchy
2023-09-28 | 18:21:20.395 | [DBG] | GWS Request | 00:00:00.2496004 | batchy
2023-09-28 | 18:21:53.759 | [DBG] | GWS Request | 00:00:02.0406061 | batchy
2023-09-28 | 18:21:53.769 | [DBG] | GWS Request | 00:00:00.0100000 | batchy
2023-09-28 | 18:21:53.989 | [DBG] | GWS Request | 00:00:00.2200003 | batchy
2023-09-28 | 18:21:54.209 | [DBG] | GWS Request | 00:00:00.2200003 | batchy
2023-09-28 | 18:21:54.456 | [DBG] | GWS Request | 00:00:00.2472004 | batchy
2023-09-28 | 18:22:02.072 | [DBG] | Competition synchronization | 00:00:00.5369673 | batchy
2023-09-28 | 18:22:02.691 | [DBG] | Competition synchronization | 00:00:00.5790468 | batchy
2023-09-28 | 18:22:03.259 | [DBG] | Competition synchronization | 00:00:00.5710895 | batchy
2023-09-28 | 18:22:03.734 | [DBG] | Competition synchronization | 00:00:00.4655250 | batchy
2023-09-28 | 18:22:04.202 | [DBG] | Competition synchronization | 00:00:00.4687539 | batchy
2023-09-28 | 18:22:04.737 | [DBG] | Competition synchronization | 00:00:00.5307313 | batchy
